ds,y,supply_pc1,demand_pc1,supply_pc2,demand_pc2,supply_pc3,demand_pc3,supply_pc4,demand_pc4,supply_pc5,demand_pc5
2019-09-17,2.34121682814391,-0.939083323815685,-1.85962357860057,0.776954344899671,-0.0494441601754874,-0.021040360166631,-0.571479966031557,-0.269455085703943,0.0484439748905696,0.23209442104406397,0.00277461854078977
2019-09-18,2.3617467179758997,-0.9257622922969979,-1.8657353063000301,0.729302482002377,-0.0945471214870093,-0.15637475210569798,-0.5977697975991351,-0.264633115055991,0.101942891348818,0.226941886658797,-0.0150588002240099
2019-09-19,2.4633105544564904,-0.882625728271179,-1.85531352205221,0.685207944482673,-0.10037578442369399,-0.333635166140811,-0.685309988013656,-0.23553131292071902,0.0626093739488024,0.230345521220859,0.0367881688391066
2019-09-20,2.4059266256129503,-0.753597087863193,-1.4890528291867802,0.630510385736052,-0.0509426967217016,-0.325484609820692,-0.7353649789609829,-0.0981910097543819,-0.0110522753644907,0.20509781970989202,0.0435011250532884
2019-09-21,2.42499590961736,-0.40852465334488397,0.35262917287282103,0.0287254358759835,0.0384025433426964,-0.0822357612826229,-0.752482020614593,0.508331697628639,0.0127877377416821,-0.0137231589447286,0.19640656199620898
2019-09-22,2.3295199121858703,-0.27573020550312605,0.857774733128451,-0.14122754089864,0.0381936373444051,-0.10395340017882598,-0.720427920751798,0.6610408622714511,0.0996200988348278,-0.05422442980786799,0.156576487000682
2019-09-23,2.3437629752857,-0.62686326468832,-1.22249461925259,0.504958589507447,-0.0469427390795291,-0.5107622617966789,-0.6992284773261059,-0.0266921095541179,4.22709480741336e-05,0.14393362650032998,0.0142097862718772
2019-09-24,2.4915857879991496,-0.6577753604633779,-1.59100423554766,0.623661311480984,-0.116198969632545,-0.697524434464526,-0.706634435988525,-0.11744436839540899,0.00133990193619503,0.175146346491715,-0.00671259877767195
2019-09-25,2.47398302321034,-0.641327494241616,-1.5774150282208401,0.560701039316103,-0.161198690922331,-0.836697370990349,-0.723491000786688,-0.109530260493269,0.047277540221954004,0.158867566640749,-0.0243167478093089
2019-09-26,2.5286853575870203,-0.599073551348427,-1.54672971254148,0.5020600861236629,-0.167537219010305,-1.00697867978321,-0.799690904821453,-0.0776228068332959,0.0016692386635508301,0.152552978777488,0.0281747535596089
2019-09-27,2.37300400476727,-0.47472532476201507,-1.16029070282527,0.433973367106704,-0.11932004648320402,-0.9812320995125731,-0.8367036964006421,0.062058950770832004,-0.0768252883844207,0.11931382776549,0.0358855790048755
2019-09-28,2.28546729046006,-0.137817512272497,0.7008295061241059,-0.179659326677183,-0.0319623356668317,-0.710191600310884,-0.8393137345281851,0.6702735631078779,-0.0562522773802155,-0.105501987585175,0.190063301724104
2019-09-29,2.25229464014445,-0.0162649836190581,1.22403006788307,-0.359556096640078,-0.0349655534910728,-0.6945530910432249,-0.791551105107591,0.8238373300009529,0.0289686664546436,-0.14978914881837,0.151686624386409
2019-09-30,2.47717915679053,-0.38122819195667296,-0.8401800899421941,0.278920875772807,-0.12370576380904401,-1.05526658874828,-0.753724756246006,0.135937098242866,-0.0705115104607044,0.0469398351968768,0.010849894361292
2019-10-01,2.58400311764561,-0.42800089249493,-1.1951904511880902,0.392438271069322,-0.197344684317395,-1.18819337933213,-0.7438818513926759,0.0438201440147269,-0.067390977509289,0.0791585987550674,-0.008578127502619309
2019-10-02,2.72963448113594,-0.42883297198063397,-1.1711608497731,0.327055430123414,-0.247442004043989,-1.2669397647495702,-0.7431705291738531,0.0490113561093471,-0.0179264717405903,0.0663265834268519,-0.0248394207127287
2019-10-03,2.68885567759569,-0.40463073098328,-1.13351268811601,0.268935653332122,-0.259497043835085,-1.37147418834431,-0.801786236731633,0.0766974332807271,-0.0583619622882924,0.0658313623654757,0.0287279385280482
2019-10-04,2.57309217706338,-0.298439824389177,-0.7439139726441271,0.204430574614363,-0.21748957264783497,-1.27602285296286,-0.8214944476333709,0.21054489164978998,-0.130130893593479,0.0406434300024898,0.0371367454996898
2019-10-05,2.35671406058339,0.0208712648335188,1.11634061471518,-0.402512356514905,-0.136682646699121,-0.932741551405527,-0.807362405558438,0.81122853499021,-0.101405383594384,-0.174099506054818,0.19153244907318398
2019-10-06,2.32413835265502,0.126035425136989,1.6345388831396699,-0.5726357380572089,-0.146403526102905,-0.843774010347362,-0.743684240980495,0.955515806596604,-0.00676048719900352,-0.206566552381247,0.152804327504584
2019-10-07,2.44588430291691,-0.25349657955370897,-0.43880642074974396,0.0786003156081264,-0.241837064113901,-1.13151044872176,-0.6910088805713859,0.256582970621784,-0.0957264732102007,0.00339820669780408,0.0109736231508014
2019-10-08,2.36526329169873,-0.312460969849645,-0.8069647549519929,0.207691717896621,-0.32194252904154497,-1.19321172535302,-0.667594852371114,0.15170743447147,-0.0812041483529846,0.0498884474007886,-0.0101445171892505
2019-10-09,2.31183859317619,-0.322619509413104,-0.799862024522237,0.16045671482499,-0.37807218553316296,-1.20381149528969,-0.654769260839775,0.142486320975007,-0.019669544505002,0.0519454835708614,-0.028823581432577003
2019-10-10,2.3664416361568303,-0.30447367273072495,-0.782577427698207,0.122751564980614,-0.39551953113435706,-1.24450394758006,-0.7028711633129859,0.154220923709603,-0.0475975253865215,0.066511969404215,0.0215909163608231
2019-10-11,2.39165832872248,-0.200759246145988,-0.416337325453765,0.08056108833867501,-0.358066802587464,-1.09061295657229,-0.713772202169071,0.27073379246309603,-0.106658811988056,0.0560989205910328,0.0261296455528391
2019-10-12,2.2640855141553997,0.119861083820127,1.4180928562333899,-0.50258601239018,-0.280794414620608,-0.6952410015937261,-0.692607155331144,0.8528950860005179,-0.0652639370900372,-0.14461724576507,0.17598170669461702
2019-10-13,2.25666964868723,0.23021561327173698,1.90860326267057,-0.647893687134131,-0.292868181665058,-0.56130869295551,-0.623698752104088,0.9777036299142601,0.0417776291790453,-0.16425582506144798,0.13210546842913198
