ds,y,supply_pc1,supply_pc2,supply_pc3,supply_pc4,supply_pc5,demand_pc1,demand_pc2,demand_pc3,demand_pc4,demand_pc5
2015-09-01,2.1698507018615003,-2.0610379178887097,3.8093790920444603,7.8320891354350595,-0.7547523630977421,-0.48550382527791097,-3.0304056963662003,-0.39658258957663794,0.32972109372658004,0.13242821462579699,0.447249734824442
2015-09-02,2.0505730767551498,-2.18103989805591,3.33513091276752,7.85121859642853,-0.3115121579395,-0.46976016368057305,-1.9568700451662702,-0.0292100177892571,-0.37460508861619396,-0.59657543544318,0.140717912856678
2015-09-03,2.0971878725709,-1.7406201813598001,3.98898314813279,7.89257426835998,-0.30945342710872603,0.067694304238282,-2.11726497642182,0.0632022978103992,-0.427372364792052,0.543055803407623,-0.29703121813287103
2015-09-04,2.0855046394265,-2.24032872437127,3.75335540284983,7.73350064729929,-0.38785104671274395,-0.32347580134983195,-2.40289856003616,0.50044675311147,0.010671212917558001,-0.566282439995452,0.037179418781194996
2015-09-05,2.02901832954648,-1.8074991393452702,2.1003075667210798,5.158822925769849,0.9078958171160859,0.159525359537331,0.0600395144775735,0.21487142832078301,-0.339104734190586,-0.365103375614398,0.04065083295786799
2015-09-06,2.01165501072478,-1.39089549733455,2.7046708327524103,6.489695489317059,0.8087045611738559,0.254385192976381,0.29379287573645,-0.444478417814446,-0.48939825329519504,0.358328720004424,-0.36437716029640793
2015-09-07,2.14823235964491,-1.2214797005561002,4.42437058529011,9.580732687559859,-1.0225319267861501,0.297759444122383,-2.4745084030963396,-0.203500949448811,-0.0715757370332785,0.625332614706579,-0.343015059827619
2015-09-08,2.09971516235102,-0.8987726093168821,4.00597342779129,10.5225813005824,-1.6669962222281498,-0.11708725331088601,-2.2556132020449904,0.0337826426675068,0.0993588225886176,0.30171198094963897,-0.27131447448921103
2015-09-09,2.0714769676989198,-1.6067456510909,3.2473127934084904,9.61572149412682,-1.10581623239291,-0.6221321167651679,-1.54408948686758,0.7047956339471709,0.423659040003507,-0.4318565192250589,-0.0125020958858958
2015-09-10,2.17496062293803,-1.5431584515771999,3.4388231774727402,9.56910496296586,-1.3652660811623702,-0.5698183366313271,-2.00025952798257,0.9100014716932121,0.306091216089593,0.0193214679521538,-0.25128059838292605
2015-09-11,2.15090987370112,-0.9570876198352499,3.88644264595073,9.55677955874018,-1.3573148766112102,-0.187204988107402,-2.1405158854980297,0.0654633787962276,-0.298913579512117,0.466124586408784,-0.41091534095125504
2015-09-12,2.0782029825036896,-0.9493203994174251,2.76443884392802,9.20196808849481,-0.35717207939957,-0.0389198616437396,0.14901698097696803,0.7147076610589421,-0.33530529908268397,0.299479279793337,0.157121614913011
2015-09-13,2.03486899636113,-0.813782257777882,1.9533538278215,7.7176862063821305,0.17633780525290899,-0.100519996134186,1.3009051684734598,0.389822977108805,0.0018905877060258899,0.26376239732964396,-0.335149999020477
2015-09-14,2.03969166164903,-0.696251860878202,3.16328006650601,8.64940527635732,-1.2166648634486898,-0.206635367344714,-1.41401787061301,0.4663328969784699,-0.180270370479892,0.10866221532192599,-0.155020988754172
2015-09-15,2.0190331639309997,-1.49922383348251,2.52504885701233,8.149941901233799,-0.7068216855402991,-0.7203145448840059,-0.49103085676336994,1.2942771358570802,0.578360617957968,-0.0482098866242699,-0.6460342072360711
2015-09-16,1.9837615602861598,-1.92870171582621,2.4020922352904703,7.62315615932566,-0.17630311116329603,-0.962670168534262,-0.15101990033094,1.53772969490933,0.28052668370962397,-0.0622783445715484,-0.516636699144485
2015-09-17,1.99135900263795,-1.67443345271058,2.58645873933989,7.4618323458916,0.00307747425533655,-0.8540520116857528,-0.110089075126385,0.968393124102702,0.205548998994476,-0.024462380398871,-0.230556140441022
2015-09-18,1.92654822463562,-1.4326293318138301,2.38933971874048,6.51271357029919,0.28420024869363103,-0.7245526593269391,0.20781820628134803,0.7109171579718859,-0.13085483914843699,-0.402526471655182,-0.383165007025881
2015-09-19,1.96345726011671,-1.8572426592001,1.81634771428451,6.062720108558789,0.727604641364332,-0.0700893890628956,0.268043904034713,-0.25599172947131,-0.510143865107295,0.15195388962139902,0.35619855460211297
2015-09-20,1.95021876664186,-2.2937974061896202,1.6457894551436698,6.284632996076291,0.647552772852965,-0.36780934049715797,0.181145374929151,0.12183760658986399,-0.0783560567926132,-0.0165665530048318,0.518746090667067
2015-09-21,2.0835742796739902,-2.8483761624485697,2.8796478368168996,7.65452505371116,-0.7816641904327,-0.8551063478998799,-2.7213748605775,0.145742375906315,-0.12850829644644401,0.17365626466042902,-0.0547251447566007
2015-09-22,2.19939860235962,-2.1129718949636,0.758902613046578,0.636740452420038,-0.405028114013969,-0.243016005507047,-2.8657547049258,0.37388168248825104,-0.15596915372849698,0.327773859162303,0.269497211233749
2015-09-23,2.02816441942447,-1.7691557701623202,0.579005125490317,0.6191899557620849,-0.280200750093845,-0.21648519613297001,-2.2111181293228,-0.0471013512624465,-0.134129129519312,0.0104177170836055,-0.0487627863052208
2015-09-24,1.9948887953649097,-2.2745490069891203,-0.0019983906244283,0.96591536628048,0.0458847396920834,-0.7772064099231859,-1.3043764388097498,0.34614372931667103,0.0804318755773884,-0.125752083611219,0.0986785557361934
2015-09-25,2.0334639660773997,-1.40860327226684,0.175598040159357,0.25866196574496203,0.179128811893362,0.17205979838693303,-1.15869118493623,-0.0717641193100357,-0.514864564025301,0.144826177604797,-0.0319007470653897
2015-09-26,1.98833595585605,-1.39072224823122,-0.506673174033964,0.11240798122859,1.07900726208642,-0.345455504528117,0.711988719414521,0.106767819511278,-0.5720733881478189,-0.23905669478858102,0.525600017924763
