ds,supply_pc1,demand_pc1,supply_pc2,demand_pc2,supply_pc3,demand_pc3,supply_pc4,demand_pc4,supply_pc5,demand_pc5
2015-09-01,-1.46603957055433,-2.0017080690598203,1.27456666844741,0.482296896668488,5.2223295419934805,0.32598297261484305,-0.580044606713619,-0.00830932257484375,-0.00925808146814028,-0.0363313644256398
2015-09-02,-1.50898448003371,-1.98440902335058,1.2344934463773798,0.44484555321893393,5.17829360045975,0.322976973254245,-0.5753105792809671,0.0566406125263968,-0.009276748259364859,-0.0504624125652893
2015-09-03,-1.5227210864785201,-1.95545921509841,1.2010464439181499,0.4453993808266021,5.09232064706488,0.256764745906282,-0.54670704781805,0.0309027364620446,0.00283209872576923,0.00538492631031844
2015-09-04,-1.44996123451694,-1.57611848054459,1.1600942965498402,0.500007914426059,5.188964087018991,0.225524787903748,-0.41036140362912393,-0.0273079620165825,-0.0102809104755824,0.0162249974682236
2015-09-05,-1.15936098972731,0.272807187854099,0.575084669387497,0.593432116774931,5.51514721190658,0.22421025902574,0.19461529023616,0.0134991845969778,-0.213797978609635,0.173214298399271
2015-09-06,-1.07810048375585,0.779158950654059,0.424770168833275,0.596359677427048,5.5681227212341105,0.268622763934686,0.345207765659139,0.118433671248037,-0.236196101068261,0.13726255732351197
2015-09-07,-1.47676814426091,-1.3059501242848799,1.09319324699452,0.513608167315299,5.2252253373868705,0.29838173861004696,-0.345192653419743,0.0376785472212893,-0.0176034134599058,-0.00157974735832967
2015-09-08,-1.5502629399556003,-1.68516122124199,1.2363724122085802,0.446205232931137,5.089251897965429,0.29546542201133696,-0.43910149071540294,0.0580815269602791,0.0358247435193662,-0.0194605685611632
2015-09-09,-1.5706270263258202,-1.68776381235908,1.19968117165342,0.40276763277259,4.985656428305269,0.27884625576624705,-0.43472854694101,0.122956022322776,0.0429259283003147,-0.0346104279333953
2015-09-10,-1.5587508425858603,-1.67821249863948,1.1685759910384501,0.397951330390894,4.83395270880946,0.198540626614064,-0.406599532778996,0.0956624113581832,0.0604932352762836,0.0196721661368679
2015-09-11,-1.4578557091428,-1.31714049259544,1.12869843619307,0.447903116812384,4.85982875500383,0.15308026898789498,-0.27074499550000797,0.034414936380095004,0.050949670211216,0.028466537867512996
2015-09-12,-1.13717178475831,0.515229824214775,0.543301080818491,0.537451160626207,5.11147526144357,0.13777285783472698,0.333820267050823,0.0707406361601429,-0.151049277444806,0.183009417289767
2015-09-13,-1.02450330227426,1.00726439249088,0.39098024987615204,0.5373186677834211,5.08751772300175,0.16876765361731902,0.48417291352555697,0.16982201038006,-0.17407322817392698,0.14430290974354698
2015-09-14,-1.39109671544792,-1.08947205225115,1.0556668449159399,0.4523264563762511,4.66673879055951,0.18601702097710798,-0.206211943324769,0.0819503088070608,0.0417290220703087,0.00249852337874077
2015-09-15,-1.4325258210577199,-1.4772544864869,1.1933173742345702,0.383473643902786,4.45342598069615,0.171809984819934,-0.299777889082643,0.0941142881352103,0.0902535795827774,-0.0184457711702836
2015-09-16,-1.421506707636,-1.48510169770022,1.14929645022499,0.33931822978792103,4.2745330375077,0.145400835194283,-0.294678133873903,0.149798035712112,0.0904595659608868,-0.0366535794410746
2015-09-17,-1.3795850660626199,-1.47730061323298,1.10910690717535,0.334429734813237,4.05104829564658,0.0570528464144874,-0.265400299120724,0.11255825963617802,0.0993276962414518,0.0146805841770468
2015-09-18,-1.25060140136565,-1.1144244712800602,1.0584926089092,0.384844286370634,4.01007531424929,0.00550455728071092,-0.127958033785699,0.0408265426633751,0.0795286527768708,0.0207333170842593
2015-09-19,-0.9043524866165,0.7232548827410831,0.460863474730309,0.475259435350299,4.201128679665,-0.0137737520765029,0.478627456955531,0.0663630867534673,-0.133982107325141,0.172828344715867
2015-09-20,-0.7691414375870171,1.22394576887768,0.29502577937655294,0.47625274902091796,4.12403550997361,0.0154825544554236,0.631401675474348,0.154593782294817,-0.169431244962365,0.13204129297618902
2015-09-21,-1.1166324655934299,-0.861048564499813,0.94516900267913,0.39248982647698605,3.65862998889182,0.0332920945293368,-0.0562168641239001,0.0560576405158782,0.0334078340726648,-0.011419014608054999
2015-09-22,-1.1427247506512899,-1.23436124259783,1.06755142447258,0.32481075926802805,3.41007674989259,0.021960290835901,-0.146753674603502,0.0579895841616886,0.0688275405527589,-0.0335556687860347
2015-09-23,-1.12035860653006,-1.22545591918474,1.00787584176379,0.281616634243747,3.2060120220318598,0.0007083988458144731,-0.138468267062214,0.10411234972042199,0.0561920774727755,-0.052473251668285995
2015-09-24,-1.07119672630188,-1.19913867526961,0.9520117157035699,0.277328049335757,2.96789639574552,-0.0802812284410275,-0.10597713396100099,0.058208052487335994,0.0528836104592391,-0.00136802041172624
2015-09-25,-0.939086226901698,-0.816561598289572,0.886089008169762,0.327845840914982,2.92308486976196,-0.12239625080524498,0.0345572686284547,-0.0210849426579398,0.0219583215289462,0.0049139822285312
2015-09-26,-0.593719933285846,1.04138128715975,0.27391345831907,0.417751124743291,3.12111734041921,-0.130334273782836,0.643948410893345,-0.0018231827264959,-0.201270660998078,0.157653542165943
2015-09-27,-0.463189298077334,1.56225049014995,0.0946866026942284,0.417528523239118,3.0616201946789903,-0.0880357678826351,0.7990640838507819,0.0815746350804865,-0.24471124813658698,0.117864359657301
2015-09-28,-0.818844948112364,-0.5033056363365711,0.73298208207239,0.331778071447133,2.62400632426057,-0.0557192242827647,0.11313744920703901,-0.020228508800406,-0.0478670057977986,-0.0243236621503633
